,ID,Name,Position,Team,timeOnIce,assists,goals,pim,shots,games,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,plusMinus,points,shifts,fanPts,timeOnIce_W,assists_W,goals_W,pim_W,shots_W,games_W,hits_W,powerPlayGoals_W,powerPlayPoints_W,powerPlayTimeOnIce_W,evenTimeOnIce_W,penaltyMinutes_W,faceOffPct_W,shotPct_W,gameWinningGoals_W,overTimeGoals_W,shortHandedGoals_W,shortHandedPoints_W,shortHandedTimeOnIce_W,blocked_W,plusMinus_W,points_W,shifts_W,fanPts_W,upcomingDifficulty
0,8479511,Janne Kuokkanen,C,NJD,33795,6,5,8,45,43,25,1,1,608,30522,8,14.5825,0.12214481830596924,1,0,1,1,2665,16,-12,11,810,146,764,0,0,0,0,1,0,0,0,0,764,0,0,0,0,0,0,0,0,2,-1,0,17,0,1218.0412
1,8481740,Tyce Thompson,R,NJD,1730,0,0,0,3,2,2,0,0,15,1635,0,50.0,0.0,0,0,0,0,80,0,0,0,41,5,1730,0,0,0,3,2,2,0,0,15,1635,0,50.0,0.0,0,0,0,0,80,0,0,0,41,5,1248.5214999999998
2,8474056,P.K. Subban,D,NJD,60997,15,3,43,85,53,52,0,0,2463,55585,43,0.0,0.19533634573454037,1,0,0,1,2949,64,-8,18,1256,273,3848,0,0,7,3,4,2,0,0,17,3702,7,0,0.0,0,0,0,0,129,4,1,0,82,11,1254.6879
3,8475193,Tomas Tatar,L,NJD,46372,13,9,16,93,53,47,2,5,5994,40361,16,18.221678619384765,0.3915649106667843,0,0,0,0,17,17,-12,22,1107,265,2942,1,0,0,7,4,3,0,0,412,2530,0,0.0,0.0,0,0,0,0,0,3,1,1,76,19,1254.6879
4,8476462,Dougie Hamilton,D,NJD,45850,15,9,24,127,36,49,2,8,5152,39414,24,0.0,18.310168042482108,1,1,0,0,1284,52,-4,24,897,376,4881,1,2,2,11,4,4,0,1,471,4406,2,0,18.2125,1,1,0,0,4,2,3,3,96,51,1254.6879
5,8476918,Jimmy Vesey,L,NJD,45396,7,7,8,83,52,75,0,0,1041,37719,8,38.32129634857178,1.5633583536178777,2,0,2,2,6636,23,-16,14,1082,259,3150,1,0,2,4,4,3,0,0,24,2757,2,31.25,0.0,0,0,0,0,369,1,-1,1,79,10,1254.6879
6,8476923,Damon Severson,D,NJD,76043,24,7,49,115,54,56,3,11,7071,60855,49,0.0,1.566660330165222,0,0,0,1,8117,65,-13,31,1426,394,5611,1,0,2,10,4,3,0,0,1009,4077,2,0,0.0,0,0,0,0,525,4,2,1,105,25,1254.6879
7,8477341,Andreas Johnsson,L,NJD,45441,17,11,26,94,52,46,1,1,3704,41399,26,3.97134765625,0.19836432808660476,0,0,0,0,338,14,2,28,1033,302,3124,2,0,2,7,4,3,0,0,188,2936,2,0,0.0,0,0,0,0,0,1,0,2,68,19,1254.6879
8,8477419,Mason Geertsen,D,NJD,7706,0,0,57,6,17,48,0,0,0,7698,57,0.0,0.0,0,0,0,0,8,6,-2,0,217,56,507,0,0,2,0,1,4,0,0,0,507,2,0,0,0,0,0,0,0,0,0,0,14,4,1254.6879
9,8477435,Ryan Graves,D,NJD,63944,18,4,22,88,51,61,0,0,194,55980,22,0.0,1.5625119442120194,0,0,0,0,7770,99,-4,22,1282,336,4797,1,1,2,10,4,2,0,0,8,4378,2,0,1.5625,0,0,0,0,411,8,-3,2,95,24,1254.6879
