ID,Name,Position,Team,timeOnIce,assists,goals,pim,shots,games,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,plusMinus,points,shifts,fanPts,timeOnIce_W,assists_W,goals_W,pim_W,shots_W,games_W,hits_W,powerPlayGoals_W,powerPlayPoints_W,powerPlayTimeOnIce_W,evenTimeOnIce_W,penaltyMinutes_W,faceOffPct_W,shotPct_W,gameWinningGoals_W,overTimeGoals_W,shortHandedGoals_W,shortHandedPoints_W,shortHandedTimeOnIce_W,blocked_W,plusMinus_W,points_W,shifts_W,fanPts_W,upcomingDifficulty,truth
8479511,Janne Kuokkanen,C,NJD,854,1,0,2,1,1,0,0,0,104,750,2,0,0.0,0,0,0,0,0,0,1,1,21,7,854,1,0,2,1,1,0,0,0,104,750,2,0,0.0,0,0,0,0,0,0,1,1,21,7,1039.0754000000002,1
8479511,Janne Kuokkanen,C,NJD,3510,1,1,2,7,4,1,1,1,276,3234,2,0,12.5,0,0,0,0,0,0,1,2,79,30,2656,0,1,0,6,3,1,1,1,172,2484,0,0,12.5,0,0,0,0,0,0,0,1,58,23,950.7837,0
8479511,Janne Kuokkanen,C,NJD,5714,1,1,2,9,7,4,1,1,450,5264,2,0.0,6.25,0,0,0,0,0,2,0,2,133,35,2204,0,0,0,2,3,3,0,0,174,2030,0,0.0,0.0,0,0,0,0,0,2,-1,0,54,5,911.6990000000001,0
8479511,Janne Kuokkanen,C,NJD,7462,1,2,4,11,10,5,1,1,489,6918,4,0.0,28.125,0,0,0,0,55,3,1,3,174,47,1748,0,1,2,2,3,1,0,0,39,1654,2,0,25.0,0,0,0,0,55,1,1,1,41,12,1303.6351000000002,0
8479511,Janne Kuokkanen,C,NJD,10938,1,3,4,14,14,7,1,1,500,10025,4,0.0,19.53125,1,0,1,1,413,4,-2,4,263,73,3476,0,1,0,3,4,2,0,0,11,3107,0,0,12.5,1,0,1,1,358,1,-3,1,89,26,623.6758,0
8479511,Janne Kuokkanen,C,NJD,12627,1,3,4,17,16,11,1,1,531,11536,4,0.0,4.8828125,1,0,1,1,560,5,-2,4,307,81,1689,0,0,0,3,2,4,0,0,31,1511,0,0,0.0,0,0,0,0,147,1,0,0,44,8,1043.913,0
8479511,Janne Kuokkanen,C,NJD,15164,1,3,4,20,19,16,1,1,531,13760,4,0.0,2.44140625,1,0,1,1,873,6,-3,4,370,88,2537,0,0,0,3,3,5,0,0,0,2224,0,0,0.0,0,0,0,0,313,1,-1,0,63,7,974.6779,0
8479511,Janne Kuokkanen,C,NJD,16827,2,3,4,22,21,17,1,1,531,15194,4,0.0,1.220703125,1,0,1,1,1102,7,-4,5,410,94,1663,1,0,0,2,2,1,0,0,0,1434,0,0,0.0,0,0,0,0,229,1,-1,1,40,6,1345.8072000000002,0
8479511,Janne Kuokkanen,C,NJD,19280,2,3,4,24,25,19,1,1,545,17329,4,0.0,0.30517578125,1,0,1,1,1406,8,-5,5,473,97,2453,0,0,0,2,4,2,0,0,14,2135,0,0.0,0.0,0,0,0,0,304,1,-1,0,63,3,1307.2256,0
8479511,Janne Kuokkanen,C,NJD,21315,2,4,6,25,28,19,1,1,545,19037,6,0.0,50.152587890625,1,0,1,1,1733,9,-7,6,518,101,2035,0,1,2,1,3,0,0,0,0,1708,2,0.0,50.0,0,0,0,0,327,1,-2,1,45,4,983.3589000000001,0
