NEW_WEEK
Alex DeBrincat
Jesse Puljujarvi
Vladimir Tarasenko
Bo Horvat
Drew Doughty
Auston Matthews
Jason Spezza
Brady Tkachuk
Roope Hintz
Adam Gaudette
Nick Paul
Rasmus Dahlin
Blake Wheeler
Kevin Fiala
Hampus Lindholm
Paul Stastny
Josh Morrissey
Bryan Rust
Christian Fischer
Kaapo Kakko
Nils Lundkvist
Mark Stone
Troy Terry
Jesper Fast
Nino Niederreiter
Chris Kreider
Brayden Schenn
Ryan Johansen
Ryan O'Reilly
Dylan Larkin
Philipp Kurashev
Matthew Tkachuk
Mikko Rantanen
Alex Ovechkin
Cale Makar
Brayden Point
Steven Stamkos
Warren Foegele
Sebastian Aho
Kevin Shattenkirk
Teuvo Teravainen
Mika Zibanejad
Tanner Jeannot
Nathan Bastian
Anthony Beauvillier
Brock Nelson
